Rndrng_Prvdr_Geo_Lvl,Rndrng_Prvdr_Geo_Cd,Rndrng_Prvdr_Geo_Desc,DRG_Cd,DRG_Desc,Tot_Dschrgs,Avg_Submtd_Cvrd_Chrg,Avg_Tot_Pymt_Amt,Avg_Mdcr_Pymt_Amt
National,,National,001,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITH MCC,1889,1225336.5034,288944.29857,250981.08894
National,,National,002,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W/O MCC,86,665385.7907,157215.12791,135534.33721
National,,National,003,"""ECMO OR TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEP",13266,760848.16245,175895.34185,155612.80755
National,,National,004,"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",13004,463812.90341,102336.76277,91361.700246
National,,National,005,LIVER TRANSPLANT WITH MCC OR INTESTINAL TRANSPLANT,1275,656132.59451,131325.71608,103896.99294
National,,National,006,LIVER TRANSPLANT W/O MCC,414,368386.14976,55916.345411,43928.869565
National,,National,007,LUNG TRANSPLANT,660,814860.77121,139102.03636,113548.28636
National,,National,008,SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,408,487467.21569,78501.928922,49690.053922
National,,National,010,PANCREAS TRANSPLANT,28,290942.21429,51491,26349.428571
National,,National,011,"TRACHEOSTOMY FOR FACE, MOUTH & NECK DIAGNOSES OR LARYNGECTOMY W MCC",1781,216264.78327,50974.821449,43538.173498
National,,National,012,"""TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WIT",1704,178810.8081,40831.123826,33475.742958
National,,National,013,"TRACHEOSTOMY FOR FACE, MOUTH & NECK DIAGNOSES OR LARYNGECTOMY W/O CC",421,109451.75059,24406.72209,19097.168646
National,,National,014,ALLOGENEIC BONE MARROW TRANSPLANT,1102,508729.49183,138999.11162,117454.77042
National,,National,016,AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC OR T-CELL IMMUNOTHERAPY,2619,447340.57923,109024.17449,95247.881252
National,,National,017,AUTOLOGOUS BONE MARROW TRANSPLANT WITHOUT CC/MCC,94,152104.74468,44134.287234,34729.648936
National,,National,020,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE,1765,405268.05892,99357.802833,87234.046459
